,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Person,Returned
0,435,US-2016-150574,2016-12-19,2016-12-25,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,Jacksonville,Florida,32216.0,South,OFF-BI-10000773,Office Supplies,Binders,Insertable Tab Post Binder Dividers,4.812,2,0.7,-3.6892,Cassandra Brandow,Yes
1,435,US-2016-150574,2016-12-19,2016-12-25,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,Jacksonville,Florida,32216.0,South,OFF-BI-10000773,Office Supplies,Binders,Insertable Tab Post Binder Dividers,4.812,2,0.7,-3.6892,Cassandra Brandow,Yes
2,436,US-2016-150574,2016-12-19,2016-12-25,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,Jacksonville,Florida,32216.0,South,TEC-AC-10002600,Technology,Accessories,Belkin QODE FastFit Bluetooth Keyboard,247.8,5,0.2,-18.584999999999997,Cassandra Brandow,Yes
3,436,US-2016-150574,2016-12-19,2016-12-25,Standard Class,MK-18160,Mike Kennedy,Consumer,United States,Jacksonville,Florida,32216.0,South,TEC-AC-10002600,Technology,Accessories,Belkin QODE FastFit Bluetooth Keyboard,247.8,5,0.2,-18.584999999999997,Cassandra Brandow,Yes
4,1319,CA-2016-160773,2016-07-01,2016-07-05,Standard Class,LW-16825,Laurel Workman,Corporate,United States,Deltona,Florida,32725.0,South,TEC-PH-10004586,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,575.92,2,0.2,71.98999999999998,Cassandra Brandow,Yes
5,1319,CA-2016-160773,2016-07-01,2016-07-05,Standard Class,LW-16825,Laurel Workman,Corporate,United States,Deltona,Florida,32725.0,South,TEC-PH-10004586,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,575.92,2,0.2,71.98999999999998,Cassandra Brandow,Yes
6,1320,CA-2016-160773,2016-07-01,2016-07-05,Standard Class,LW-16825,Laurel Workman,Corporate,United States,Deltona,Florida,32725.0,South,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,5.184000000000001,6,0.7,-3.6288,Cassandra Brandow,Yes
7,1320,CA-2016-160773,2016-07-01,2016-07-05,Standard Class,LW-16825,Laurel Workman,Corporate,United States,Deltona,Florida,32725.0,South,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,5.184000000000001,6,0.7,-3.6288,Cassandra Brandow,Yes
8,1401,CA-2018-159212,2018-11-01,2018-11-05,Standard Class,KM-16375,Katherine Murray,Home Office,United States,Salem,Virginia,24153.0,South,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104000000000001,Cassandra Brandow,Yes
9,1401,CA-2018-159212,2018-11-01,2018-11-05,Standard Class,KM-16375,Katherine Murray,Home Office,United States,Salem,Virginia,24153.0,South,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104000000000001,Cassandra Brandow,Yes
10,1402,CA-2018-159212,2018-11-01,2018-11-05,Standard Class,KM-16375,Katherine Murray,Home Office,United States,Salem,Virginia,24153.0,South,OFF-EN-10002230,Office Supplies,Envelopes,Airmail Envelopes,251.79,3,0.0,118.3413,Cassandra Brandow,Yes
11,1402,CA-2018-159212,2018-11-01,2018-11-05,Standard Class,KM-16375,Katherine Murray,Home Office,United States,Salem,Virginia,24153.0,South,OFF-EN-10002230,Office Supplies,Envelopes,Airmail Envelopes,251.79,3,0.0,118.3413,Cassandra Brandow,Yes
12,2197,CA-2018-136483,2018-12-01,2018-12-06,Standard Class,AG-10390,Allen Goldenen,Consumer,United States,Knoxville,Tennessee,37918.0,South,OFF-AR-10000940,Office Supplies,Art,Newell 343,4.704,2,0.2,0.4116000000000002,Cassandra Brandow,Yes
13,2291,CA-2017-149342,2017-04-20,2017-04-25,Standard Class,TS-21160,Theresa Swint,Corporate,United States,Columbus,Georgia,31907.0,South,TEC-PH-10001557,Technology,Phones,Pyle PMP37LED,287.97,3,0.0,77.75189999999999,Cassandra Brandow,Yes
14,2291,CA-2017-149342,2017-04-20,2017-04-25,Standard Class,TS-21160,Theresa Swint,Corporate,United States,Columbus,Georgia,31907.0,South,TEC-PH-10001557,Technology,Phones,Pyle PMP37LED,287.97,3,0.0,77.75189999999999,Cassandra Brandow,Yes
